The Flow Network Graph is as follows:
48 93
0:  0->2 1 1  0->1 24 24  
1:  1->3 23 23  1->2 1 1  
2:  2->4 2 2  2->3 1 0  
3:  3->5 22 22  3->4 1 1  
4:  4->6 3 3  4->5 1 0  
5:  5->7 21 21  5->6 1 1  
6:  6->8 4 4  6->7 1 0  
7:  7->9 20 20  7->8 1 1  
8:  8->10 5 5  8->9 1 0  
9:  9->11 19 19  9->10 1 1  
10:  10->12 6 6  10->11 1 0  
11:  11->13 18 18  11->12 1 1  
12:  12->14 7 7  12->13 1 0  
13:  13->15 17 17  13->14 1 1  
14:  14->16 8 8  14->15 1 0  
15:  15->17 16 16  15->16 1 1  
16:  16->18 9 9  16->17 1 0  
17:  17->19 15 15  17->18 1 1  
18:  18->20 10 10  18->19 1 0  
19:  19->21 14 14  19->20 1 1  
20:  20->22 11 11  20->21 1 0  
21:  21->23 13 13  21->22 1 1  
22:  22->24 12 12  22->23 1 0  
23:  23->25 12 12  23->24 1 1  
24:  24->26 13 13  24->25 1 0  
25:  25->27 11 11  25->26 1 1  
26:  26->28 14 14  26->27 1 0  
27:  27->29 10 10  27->28 1 1  
28:  28->30 15 15  28->29 1 0  
29:  29->31 9 9  29->30 1 1  
30:  30->32 16 16  30->31 1 0  
31:  31->33 8 8  31->32 1 1  
32:  32->34 17 17  32->33 1 0  
33:  33->35 7 7  33->34 1 1  
34:  34->36 18 18  34->35 1 0  
35:  35->37 6 6  35->36 1 1  
36:  36->38 19 19  36->37 1 0  
37:  37->39 5 5  37->38 1 1  
38:  38->40 20 20  38->39 1 0  
39:  39->41 4 4  39->40 1 1  
40:  40->42 21 21  40->41 1 0  
41:  41->43 3 3  41->42 1 1  
42:  42->44 22 22  42->43 1 0  
43:  43->45 2 2  43->44 1 1  
44:  44->46 23 23  44->45 1 0  
45:  45->47 1 1  45->46 1 1  
46:  46->47 24 24  
47:  

Max flow value = 25
Time Elapsed :5ms
